pcrel,p,c
604,Bearing,vertical ripples
605,Bearing,taz 4 idler bearing not rotating freely
606,Bearing,squeaky x-axis
607,Bearing,a few pre purchase questions
608,Bearing,linear bearing quick degrading
609,Bearing,bearing holder auto level
610,Bearing,y-axis end mounting holes wrong
611,Bearing,taz double bearing holder tight fit
612,Bearing,taz bearing holder how to insert bearing
613,Bearing,bad first layers
614,Bearing,hobbed bolt and extruder have ~2mm offset
615,Bearing,bearing failure on printer head
616,Bearing,frakentaz? building a taz from a prusa i2?
617,Extruder Gear,taz 5 / flexydually ninja semiflex
618,Extruder Gear,extruder green gears
619,Extruder Gear,daydreaming??
620,Extruder Gear,dual extruder knocking normal?
621,Extruder Gear,taz5 filament holder lever thing broke... easy to replace?
622,Extruder Gear,odd stepper issue on y axis
623,Extruder Gear,new taz 5 - extruder feed motor does not rotate
624,Extruder Gear,extreme extruder gear wearout or normal?
625,Extruder Gear,list of items that wear out
626,Extruder Gear,out of round large herringbone extruder gear
627,Extruder Gear,gcode files for the taz 2.1 extruder gears
628,Extruder Gear,taz spare parts.
629,Z-Axis Lead Screw,ticking on z-axis
630,Z-Axis Lead Screw,z axis stepper motor not reponding
631,Z-Axis Lead Screw,"taz 6, slop?"
632,Z-Axis Lead Screw,differences between lulzbot taz models 1 2 3 4 5 6
633,Z-Axis Lead Screw,dimensional accuracy is off
634,Z-Axis Lead Screw,lulzbot taz6 z-axis binding
635,Z-Axis Lead Screw,taz 6 - no greasing required on any axis?
636,Z-Axis Lead Screw,upgrading a lulzbot taz 5 to taz 6
637,Z-Axis Lead Screw,anyone grease the taz 6 z-axis lead screws?
638,Z-Axis Lead Screw,taz 6...continued z issuea
639,Z-Axis Lead Screw,horizontal banding... bad!!!
640,Z-Axis Lead Screw,new taz 5 owner unboxing experience
641,Z-Axis Lead Screw,taz5 lead screw nut
642,X Stepper Motor,taz 5 auto leveling
643,X Stepper Motor,openbuilds cable chain & e3d mod for taz
644,X Stepper Motor,bearing holder auto level
645,Y Stepper Motor,making a taz 4 quieter
646,Y Stepper Motor,differences between lulzbot taz models 1 2 3 4 5 6
647,Y Stepper Motor,taz 4 left & right z motors get out of sync
648,Y Stepper Motor,taz 6 vibration damper compatible y motor mount
649,Y Stepper Motor,upgrading a lulzbot taz 5 to taz 6
650,Y Stepper Motor,odd stepper issue on y axis
651,Y Stepper Motor,migrating parts to freecad
652,Z Stepper Motor,turn off z-motors during print
653,Z Stepper Motor,taz pro z axis brake
654,Z Stepper Motor,differences between lulzbot taz models 1 2 3 4 5 6
655,Z Stepper Motor,taz 4 left & right z motors get out of sync
656,Z Stepper Motor,taz 6...continued z issuea
657,Z Stepper Motor,new couplers
658,Z Stepper Motor,[taz5] noise during z homing
659,Z Stepper Motor,left z motor not working
660,Z Stepper Motor,best way to align z axis on a taz?
661,Z Stepper Motor,new and improved z motor shaft coupler
662,Extruder Stepper Motor,hs+ head taz 6 major issues!
663,Extruder Stepper Motor,taz 5 with unusual problem.  need help
664,Extruder Stepper Motor,taz 5 extruder motor extremely hot!
665,Extruder Stepper Motor,extruder motor not turning
666,Extruder Stepper Motor,anyone have an extruder stepper motor pin-out
667,Extruder Stepper Motor,[solved] extruder motor not turning
668,Extruder Stepper Motor,stepper motor unresponsive in e01 port unsure as to how to switch
669,Extruder Stepper Motor,taz 4.1 extruder motor problems
670,Extruder Stepper Motor,connectors for the extruder module
671,Extruder Stepper Motor,help...extruder motor is working but no filament being extruded
672,Extruder Stepper Motor,wierd extruder motor issue that just started
673,Extruder Stepper Motor,new taz 5 - extruder feed motor does not rotate
674,Extruder Stepper Motor,freezing/stops mid print [solved]
675,Extruder Stepper Motor,taz4 / rambo aux fan wiring?
676,Extruder Stepper Motor,kauri cables gunna be tight
677,Extruder Stepper Motor,taz 4 dual extruder
678,Extruder Stepper Motor,"broke my herringbone gears, and fried stepper motor?"
679,Extruder Stepper Motor,extruder reverses instead of extruding
680,Heat Bed Cable,request for help - lulzbot taz 5 printing issues
681,Heat Bed Cable,extruder jams on larger prints and other problems
682,Heat Bed Cable,inconsistent heat bed question
683,Heat Bed Cable,24v heat bed
684,Heat Bed Cable,heating simultaneously
685,Heat Bed Cable,bed leveling using a digital indicator
686,Heat Bed Cable,heat resistors keep burning out
687,Heat Bed Cable,will the real taz 4 build volume please stand up
688,Thermistor,can't replace thermistor
689,Thermistor,replacement e3d thermistor
690,Thermistor,thermal error e1
691,Thermistor,voltage and current measurement - taz 4
692,Thermistor,taz pro issues - print failures
693,Thermistor,taz 5 with unusual problem.  need help
694,Thermistor,thermal runaway
695,Thermistor,taz 5 dual extruder 3 issue
696,Thermistor,taz5 dual v3 loose nozzle
697,Thermistor,differences between lulzbot taz models 1 2 3 4 5 6
698,Thermistor,solved taz 6 bed not heating
699,Thermistor,prints jam halfway through - taz 5
700,Thermistor,dual extruder dummy plug for second connector
701,Thermistor,taz 6 heated bed not heating - perplexing puzzle - [edit - solved!! heater pin melted on rambo!]
702,Thermistor,modular build plate
703,Thermistor,dual v3 head not ready for prime time
704,Thermistor,dual extruder v2 heat block fan upgrade
705,Thermistor,"silicone heater, is not recognized by the printer"
706,Thermistor,reattaching glass thermistor to bed
707,Thermistor,thermal error with blank heater_id
708,Thermistor,12v 40mm cooling fan replacing the original 24v
709,Thermistor,taz 5 hotends not heating up all the way
710,Thermistor,get the static of my chest
711,Thermistor,anyone have an extruder stepper motor pin-out
712,Thermistor,spool holder-box-dryer
713,Thermistor,taz 6 bed temperature calibration?
714,Thermistor,broken heatsink tube
715,Thermistor,hot end temp offset by 25 c?!
716,Thermistor,converting to e3d-v6 hotend
717,Thermistor,catastrophic failure
718,Thermistor,taz hexagon thermistor soldered
719,Thermistor,need someone help lulzbot taz 4
720,Thermistor,don't know what's going on. help would be appreciated
721,Thermistor,would this thermistor work?
722,Thermistor,hot end not heating up
723,Thermistor,guide on upgrading taz4 with e3d v6
724,Thermistor,hotend heating issue : taz4 + e3d v6
725,Thermistor,taz 5 not maintaining hot end temperature
726,Thermistor,thermistor wiring
727,Thermistor,pico hot end on taz 5
728,Thermistor,"taz'clone' sporting a 2w laser cutter, the l?z16"
729,Thermistor,heat resistors keep burning out
730,Thermistor,taz 5 heat sink fan
731,Thermistor,kauri cables gunna be tight
732,Thermistor,dual extruder installation questions and documentation notes
733,Thermistor,taz heated bed - no longer going up to temp
734,Thermistor,heat resistor dead at 3 months
735,Thermistor,frakentaz? building a taz from a prusa i2?
736,Heat Break,[dual extruder v3] disassembly of extruders from heat break
737,Heat Break,taz aerostruder vs it-works e3d titan aero toolhead
738,Heat Break,heat break fan not working
739,Heat Break,broke heat break when trying to change nozzle on aerostruder
740,Heat Break,difference between 3mm and 1.75mm hexagon?
741,Heat Sink,mintemp error
742,Heat Sink,dual v3 - a review - wait for v4? - heat creep still a problem
743,Heat Sink,taz5 dual v3 loose nozzle
744,Heat Sink,taz 3 with new taz 5 compatible extruder
745,Heat Sink,dual extruder v3 leveling
746,Heat Sink,dual extruder v3 - heat creep solved?
747,Heat Sink,taz 6 rambo 1.3l heat sinks
748,Heat Sink,is this heat creep? (taz 5)
749,Heat Sink,micro blower fan to regular axial fan change
750,Heat Sink,12v for a fan on extruder?
751,Heat Sink,annoying heat sink fan
752,Heat Sink,melted filament coming out top of heat block.
753,Heat Sink,hexagon heat sink fan direction
754,Heat Sink,taz4 / rambo aux fan wiring?
755,Heat Sink,taz 5 extruder issue.
756,Heat Sink,taz 5 heat sink fan
757,Heat Sink,taz 5 fan wiring
758,Heat Sink,improved taz fan duct
759,Heat Sink,pla prints are curling off the bed
760,Nozzle Fan,taz fan mount!
761,Nozzle Fan,taz 5 hardened steel hs+ 1.2mm troubleshooting
762,Nozzle Fan,wiring conflict?
763,Nozzle Fan,"taz 6: different stls, different gcodes, different computers - all prints fail at the same spot"
764,Nozzle Fan,side fans stopped working
765,Nozzle Fan,duel v3 heat creep fix
766,Nozzle Fan,[solved] hot end not holding temp for certain filaments
767,Nozzle Fan,hs tool head 0.8 made a expensive mistake
768,Nozzle Fan,e1:err: mintemp taz6 dual head v2
769,Nozzle Fan,taz 6 with duet wifi board and bl-touch
770,Nozzle Fan,dual v3 - a review - wait for v4? - heat creep still a problem
771,Nozzle Fan,cooling fan overdrive?
772,Nozzle Fan,making a taz 4 quieter
773,Nozzle Fan,well it's my turn chasing the dog 'z' bed level
774,Nozzle Fan,taz 4 extruder fan
775,Nozzle Fan,taz 5 with unusual problem.  need help
776,Nozzle Fan,problem with replacement single extruder toolhead
777,Nozzle Fan,delamination
778,Nozzle Fan,z-axis homing issues - lulzbot mini toolhead on taz 6
779,Nozzle Fan,differences between lulzbot taz models 1 2 3 4 5 6
780,Nozzle Fan,dumpster find
781,Nozzle Fan,taz 6 probing failed after arduino board change.
782,Nozzle Fan,taz 5 print jams
783,Nozzle Fan,usb connection issue
784,Nozzle Fan,taz dual v3 cooling mod?
785,Nozzle Fan,taz 6 e3d conversion and fan ducts.
786,Nozzle Fan,heat break fan not working
787,Nozzle Fan,prints jam halfway through - taz 5
788,Nozzle Fan,taz 3 with new taz 5 compatible extruder
789,Nozzle Fan,extruder heatsink fan not spinning
790,Nozzle Fan,taz 6 external cooling fan(s)
791,Nozzle Fan,"taz 6: ""thermal runaway eo"" & ""err: mintemp eo"""
792,Nozzle Fan,power supply fan upgrade [tutorial]
793,Nozzle Fan,proposed dual head with the best of the single head
794,Nozzle Fan,odd behavior of plastic while bridging
795,Nozzle Fan,dual extruder v2 heat block fan upgrade
796,Nozzle Fan,where does the small fan on the extruder plug in?
797,Nozzle Fan,enclosure design sanity check...
798,Nozzle Fan,"taz 4 not boot, please help"
799,Nozzle Fan,dual extruder v3 - heat creep solved?
800,Nozzle Fan,moarstruder issue
801,Nozzle Fan,v3 dual extruder on taz 4
802,Nozzle Fan,taz 6 bed calibration
803,Nozzle Fan,strange bubbling layers
804,Nozzle Fan,taz 5 flexydually fans not running at any speed less than 100%
805,Nozzle Fan,how does the dualhead taz v2 compare to the v3?
806,Nozzle Fan,severe warping printing spare parts using chroma strand abs
807,Nozzle Fan,taz 4 for sale uk
808,Nozzle Fan,extruder fans not working and it's causing the motor to make a knocking sound from lack of cooling.
809,Nozzle Fan,12v 40mm cooling fan replacing the original 24v
810,Nozzle Fan,using the taz6 without auto leveling?
811,Nozzle Fan,"flexydually v2, help printing with flexy only"
812,Nozzle Fan,taz 6 extruder on taz 5
813,Nozzle Fan,modified heatsink fan duct for taz-6 with leds
814,Nozzle Fan,is this heat creep? (taz 5)
815,Nozzle Fan,request for help - lulzbot taz 5 printing issues
816,Nozzle Fan,dead taz 5?
817,Nozzle Fan,fans don't spin @ 24% taz 6
818,Nozzle Fan,taz 4/5 skipping steps?
819,Nozzle Fan,help trouble print head & fans after disassembly
820,Nozzle Fan,anyone have an extruder stepper motor pin-out
821,Nozzle Fan,taz upgrade list...current and future
822,Nozzle Fan,chrysalis: aluminum-framed enclosure for taz 6
823,Nozzle Fan,taz 6 vibration damper compatible y motor mount
824,Nozzle Fan,enclosure duct
825,Nozzle Fan,new taz 5 modification path
826,Nozzle Fan,maybe not clogging
827,Nozzle Fan,temperaure limit override
828,Nozzle Fan,spool holder-box-dryer
829,Nozzle Fan,the case fan
830,Nozzle Fan,tool head v2.1 fans
831,Nozzle Fan,upgrading a lulzbot taz 5 to taz 6
832,Nozzle Fan,constant extrusion failures
833,Nozzle Fan,adventures with petg
834,Nozzle Fan,taz 6 extruded harness pinout?
835,Nozzle Fan,taz head v2.1 clogging
836,Nozzle Fan,taz 6 thermal runaway
837,Nozzle Fan,taz 5 to taz 6 v2.1 upgrade
838,Nozzle Fan,lulzbot taz 6 - bad phone case print
839,Nozzle Fan,simplify 3d frustration
840,Nozzle Fan,extrusion problems
841,Nozzle Fan,"enclosures and ventilation (of the machine, not the print)"
842,Nozzle Fan,print temp
843,Nozzle Fan,consistent jams with pla on taz6 heat creep issues
844,Nozzle Fan,switching off cooling fan mid print in cura?
845,Nozzle Fan,taz 4 to e3d light
846,Nozzle Fan,converting to e3d-v6 hotend
847,Nozzle Fan,favorite dual cooling fan?
848,Nozzle Fan,taz 4 stopping mid-print...sometimes
849,Nozzle Fan,taz 6 tool head on taz 5?
850,Nozzle Fan,control box fan always off
851,Nozzle Fan,taz 5 vs makergear m2e
852,Nozzle Fan,taz 4.1 extruder motor problems
853,Nozzle Fan,taz 5 extruder issue
854,Nozzle Fan,weird extrusion issue
855,Nozzle Fan,leveling the y axis - getting rid of high / low spots
856,Nozzle Fan,micro blower fan to regular axial fan change
857,Nozzle Fan,abs fume extraction and temperature inside enclose?
858,Nozzle Fan,extrusion jam before the heated head (photos)
859,Nozzle Fan,improving the flexydually cleaning and leveling
860,Nozzle Fan,taz 5 abs cracking even with cat guard. next steps?
861,Nozzle Fan,taz 3 - suddenly stopped working
862,Nozzle Fan,taz 6 toolhead question
863,Nozzle Fan,taz 6 - motors different height - dampeners
864,Nozzle Fan,connectors for the extruder module
865,Nozzle Fan,taz 6 head w/ dual cooling fans
866,Nozzle Fan,successful printing???
867,Nozzle Fan,12v for a fan on extruder?
868,Nozzle Fan,extrusion problem with dual extruder v2
869,Nozzle Fan,taz4 flexydually v2
870,Nozzle Fan,is there a way to put a dual extruder fan on the taz5
871,Nozzle Fan,taz 5: can fan be used on high temp prints?
872,Nozzle Fan,taz5 unwanted retraction - confused?
873,Nozzle Fan,taz hexagon 40mm fan mount
874,Nozzle Fan,wierd extruder motor issue that just started
875,Nozzle Fan,annoying heat sink fan
876,Nozzle Fan,makerfarm hexagon hot end insulating boot
877,Nozzle Fan,case fan upgrade [tutorial]
878,Nozzle Fan,extruder head v2 for taz 4
879,Nozzle Fan,nozzle can't hoild temps above 240..is it me?
880,Nozzle Fan,troublesome print - print size limitations
881,Nozzle Fan,my duel cool fan fixture...
882,Nozzle Fan,ed3 v6 cooling fan not working and have a mintemp error
883,Nozzle Fan,small fan on taz 5
884,Nozzle Fan,cooling fans
885,Nozzle Fan,question about extruder fans
886,Nozzle Fan,dual extruder v2 fan clearance?
887,Nozzle Fan,[solved] done goofed and now my printer won't turn on
888,Nozzle Fan,sh!tty build quality
889,Nozzle Fan,hotend won't hold temp w/ fan above 55%
890,Nozzle Fan,printing a plen2 (how to make parts fit)
891,Nozzle Fan,uhhhgg -   couple issues that were not here before
892,Nozzle Fan,nozzle temp dropping during print
893,Nozzle Fan,taz 5 power supply with a dead fan
894,Nozzle Fan,freezing/stops mid print [solved]
895,Nozzle Fan,about to give up on pla
896,Nozzle Fan,taz 5 80mm fan shroud --  files linked
897,Nozzle Fan,taz 3 - control box fan noise fix?
898,Nozzle Fan,taz 5 froze during long print job
899,Nozzle Fan,guide on upgrading taz4 with e3d v6
900,Nozzle Fan,dual extruder is garbage.
901,Nozzle Fan,help a newbie with his 1st 3d printer
902,Nozzle Fan,upgrades to convert a taz 4 to a taz 5
903,Nozzle Fan,taz 5 pla random clogging issues and a solution.
904,Nozzle Fan,stepper motor cooling on taz5
905,Nozzle Fan,hotend heating issue : taz4 + e3d v6
906,Nozzle Fan,taz 4 clogging issues with pla
907,Nozzle Fan,hexagon heat sink fan direction
908,Nozzle Fan,taz4 / rambo aux fan wiring?
909,Nozzle Fan,taz 3 or lulzbot mini for first time hobbiest?
910,Nozzle Fan,taz 3 fan/hot end
911,Nozzle Fan,z axis moves are inconsistent
912,Nozzle Fan,v2 dually nozzle from 2 single tool heads
913,Nozzle Fan,astrosyn dampers - amazing!
914,Nozzle Fan,thermistor wiring
915,Nozzle Fan,dual duct halo taz 4
916,Nozzle Fan,power supply fan died here's a quick fix
917,Nozzle Fan,enclosure
918,Nozzle Fan,upgraded to taz 5 now print issues
919,Nozzle Fan,auxilliary power rambo and octopi
920,Nozzle Fan,sad octopuses
921,Nozzle Fan,hexagon hot end fan
922,Nozzle Fan,single extruder tool head v2 and taz 3.1
923,Nozzle Fan,taz 5 heat sink fan
924,Nozzle Fan,need help with abs bridging / make bridging test
925,Nozzle Fan,taz 5 fan wiring
926,Nozzle Fan,kauri cables gunna be tight
927,Nozzle Fan,fan not spinning below 25%
928,Nozzle Fan,taz 5 power brick fan always on
929,Nozzle Fan,small fan quit right after the hotend clogged.
930,Nozzle Fan,taz5 hexagon hotend fan
931,Nozzle Fan,taz 5 left side fan duct
932,Nozzle Fan,instructions for dual extruder into taz 5?
933,Nozzle Fan,new  taz 5 owner 3 weeks in
934,Nozzle Fan,improved taz fan duct
935,Nozzle Fan,tips for a convert?
936,Nozzle Fan,new hotend kit question
937,Nozzle Fan,pla prints are curling off the bed
938,Nozzle Fan,taz4 printing problems
939,Nozzle Fan,slightly gloppy edges (pla)
940,Nozzle Fan,"single and dual extruder hotends, can i freely swap them?"
941,Nozzle Fan,best taz 3/4 upgrades...
942,Nozzle Fan,do you unplug your power supply?
943,Nozzle Fan,dual extruder installation questions and documentation notes
944,Nozzle Fan,rambo box fan question
945,Nozzle Fan,improving dimensional accuracy on taz 4
946,Nozzle Fan,new taz4 owner and have hard time getting prints
947,Nozzle Fan,chunky printing in perimeters and infill
948,Nozzle Fan,"taz4 abs prints lumpy, wavy, bumpy!"
949,Nozzle Fan,taz replacement bed
950,Nozzle Fan,lighting a 24 volt taz 3.2
951,Nozzle Fan,sharp overhang blobbing
952,Nozzle Fan,place to tap 24v power
953,Nozzle Fan,pla jamming on taz 4
954,Nozzle Fan,fan lowering hot end temp
955,Nozzle Fan,budasnozzle clogged. how do i unclog it?
956,Nozzle Fan,hand made cooler fan issue taz3
957,Nozzle Fan,why do bad things happen after the print finishes?
958,Nozzle Fan,hooking up the taz 4 fan
959,Nozzle Fan,layer adhesion problem
960,Nozzle Fan,fan0 port power output (fried cooling fan)
961,Nozzle Fan,taz 40mm fan mount designs/revisions
962,Nozzle Fan,thoughts about the taz 3 from taz 3 owners wanted
963,Nozzle Fan,blown fan 2 mosfet
964,Nozzle Fan,taz 3 noise and smell considerations
965,Nozzle Fan,what's up with these noisy fans??!?!
966,Nozzle Fan,extruder fan help!
967,Nozzle Fan,hot end fail
968,Nozzle Fan,taz 1.0 case fan
969,Nozzle Fan,taz fan mount?
970,Nozzle Fan,"weird ""ribbing"" on my prints"
971,Part Fan,side fans stopped working
972,Part Fan,taz 5 left side fan duct
973,Filament,wiring conflict?
974,Filament,brand new workhorse filament issue
975,Filament,side fans stopped working
976,Filament,my taz 6 started chewing up the filament
977,Filament,"convert aerostruder to 1.75, how?"
978,Filament,"[dual extruder v3] filament stops feeding, ruins print, can't get out easily"
979,Filament,taz 6 bed leveling problems
980,Filament,[solved] hot end not holding temp for certain filaments
981,Filament,problems with the taz6
982,Filament,additional heating resistors in taz4 and taz5
983,Filament,auto-leveling presses down bed corners
984,Filament,taz pro issues - print failures
985,Filament,taz 6 fillament real holder problems
986,Filament,[dual extruder v3] printing different colors for different layers
987,Filament,taz pro - esteps per extruder - how to set?
988,Filament,taz 5 grinding filament
989,Filament,[dual extruder v3] disassembly of extruders from heat break
990,Filament,taz 6 filament extrudes manually but not during printing
991,Filament,[dual extruder v3] non-support filament will not print well
992,Filament,taz 6 cuts out when heating up
993,Filament,taz pro build log
994,Filament,lulzbot support is horrible
995,Filament,how to print a smooth surface?
996,Filament,taz 6 with duet wifi board and bl-touch
997,Filament,"used taz 4, how to determine nozzle size"
998,Filament,clogged bore on taz6
999,Filament,filament runout - clogged nozzle
1000,Filament,dual v3 - a review - wait for v4? - heat creep still a problem
1001,Filament,taz 5 dual extruder v3 issues
1002,Filament,taz 3 with taz 5 extruder
1003,Filament,taz 6 not extruding
1004,Filament,dual extruder v3 tool head & flexible
1005,Filament,prints shifting on taz 6
1006,Filament,new taz 5 owner needs help
1007,Filament,"taz 6, slop?"
1008,Filament,taz 6 leveling issue
1009,Filament,taz 5 with unusual problem.  need help
1010,Filament,next single extruder for taz 6
1011,Filament,help with print quality
1012,Filament,how fast can taz 6 quickprint?
1013,Filament,g21 command unknown?
1014,Filament,taz 6 with aerostruder problems.
1015,Filament,new tool heads
1016,Filament,differences between lulzbot taz models 1 2 3 4 5 6
1017,Filament,taz 5 / flexydually ninja semiflex
1018,Filament,first layer weirdness
1019,Filament,what can cause z-offset to shift?
1020,Filament,"nozzle diameter, and diameter of extruded material"
1021,Filament,taz 6 filament jamming up.
1022,Filament,taz5 won’t pre-heat
1023,Filament,taz 5 print jams
1024,Filament,top layer possible over extrusion
1025,Filament,taz 6 out of level bed
1026,Filament,custom gcode for maintanence tasks
1027,Filament,12v silicone heater source
1028,Filament,brand new at this stuff
1029,Filament,taz 5 extruder wiring help
1030,Filament,taz 6 filament spool holder
1031,Filament,2 different filaments in 1 print?
1032,Filament,filament grinding
1033,Filament,dual extruder v3 - why angle the filament channel?
1034,Filament,dual extruder v3 prints with wrong head midprint and other malfunctions
1035,Filament,taz 4.1 motors not working
1036,Filament,"prints end up ""printing in air"""
1037,Filament,blobby prints on taz6
1038,Filament,large shifts on my prints
1039,Filament,taz 6 is retracting more filament than specified
1040,Filament,filament channel is clogged?
1041,Filament,help with filament stripping
1042,Filament,the first layer
1043,Filament,recommendations to fix this print?
1044,Filament,taz 5: motor stops spinning -- no filament being fed to hot end
1045,Filament,taz 5 extruder arm crooked
1046,Filament,proposed dual head with the best of the single head
1047,Filament,taz 6 dualextv2 - filament jammed in extruder
1048,Filament,"filament stuck in printer, wont budge, wont remove"
1049,Filament,taz 5 flexydually skipping/slipping with ninjaflex
1050,Filament,modified wipe code for other toolheads to use dual v3 wipe pad
1051,Filament,broke heat break when trying to change nozzle on aerostruder
1052,Filament,filament feed failure
1053,Filament,what causes unexpected printer pause?
1054,Filament,odd behavior of plastic while bridging
1055,Filament,interlayer bonding issue with taz 6
1056,Filament,dual extruder v2 heat block fan upgrade
1057,Filament,broken nozzle
1058,Filament,filament sticking to nozzle on first layer
1059,Filament,v3 dual purge sequence on e2 not purging material
1060,Filament,dual extruder v3 'heating failed e1'
1061,Filament,taz dual v3 failures
1062,Filament,total noob with soooo many questions...
1063,Filament,abs print dragging and lifting
1064,Filament,taz 5 and 1.75mm filament
1065,Filament,dual v3 with flexible filaments (ie. ninjaflex)
1066,Filament,lulzbot taz dual extruder v3 tool head
1067,Filament,poor man's pause on filament run out
1068,Filament,enclosure design sanity check...
1069,Filament,no brim and bed not going past 85
1070,Filament,aerostruder and 1.75 filament
1071,Filament,why does filament extrude before printing.
1072,Filament,extruder too low?
1073,Filament,flexydually test print very stringy
1074,Filament,1.75 mm filament in 3.0 mm hot end
1075,Filament,taz pei surface & extude problems
1076,Filament,how do i manually extrude?
1077,Filament,titan aero on taz 6
1078,Filament,hotend really clogged
1079,Filament,taz 6 bed calibration
1080,Filament,strange bubbling layers
1081,Filament,"dual extruder upgrade to v3 from v2, what could go wrong?"
1082,Filament,dual extruder 3 with flexi?
1083,Filament,ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6
1084,Filament,jamming hexagon print head
1085,Filament,taz6 dual extrusion question
1086,Filament,abs sticks to plate like insanity! help.
1087,Filament,"printer stops extruding, chomps filament"
1088,Filament,problem with taz 6 print
1089,Filament,taz 5 flexystruder v1 printable parts
1090,Filament,taz 4 for sale uk
1091,Filament,prints out of scale
1092,Filament,"flexydually v2, help printing with flexy only"
1093,Filament,retraction issue when setting extruder temp and wait command
1094,Filament,endstops hit: x - layer shifts
1095,Filament,flexion vs e3d titan aero?
1096,Filament,is this heat creep? (taz 5)
1097,Filament,request for help - lulzbot taz 5 printing issues
1098,Filament,filament bending at top of exstruder
1099,Filament,line voids in prints
1100,Filament,taz 6 drags nozzle on print
1101,Filament,using limonene to unplug hot end
1102,Filament,why i bought a taz 5
1103,Filament,flexydually (v1) printing issues
1104,Filament,taz 3 showing error mintemp
1105,Filament,poor print quality
1106,Filament,taz 6 probe failed clean nozzle errors
1107,Filament,dual extruder blobs with 1.75mm filament
1108,Filament,taz 6 broken extruder idler block (help!)
1109,Filament,taz 6 dual extruder problems
1110,Filament,taz 6 - i *think* it is a hardware problem? :)
1111,Filament,help trouble print head & fans after disassembly
1112,Filament,uneven/shifted/missing layer issues
1113,Filament,taz upgrade list...current and future
1114,Filament,extrusion delay - taz 6
1115,Filament,removing a stuck print
1116,Filament,"help with filament ""stalling"""
1117,Filament,nozzle change 0.3mm settings/firmware?
1118,Filament,strange lines on my print
1119,Filament,filament runout sensor for octoprint
1120,Filament,maybe not clogging
1121,Filament,taz6 dimensions
1122,Filament,not sure where to begin...sub par print quality on my taz 6
1123,Filament,moarstruder
1124,Filament,dual extruder woes
1125,Filament,how to adjust extrusion speed?
1126,Filament,noob with a taz6 (please help with 2nd-4th layer)
1127,Filament,taz 6 pla issue.  please help!
1128,Filament,spool holder-box-dryer
1129,Filament,lulzbot taz 6 flexydually z movement too small
1130,Filament,resuming print doesn't resume extrusion  (taz 5)
1131,Filament,extruder steps calibration. what am i missing?
1132,Filament,taz 6 layer shift after 24 hours - happened twice at around same spot
1133,Filament,anyone put a thermocouple on a taz 5?
1134,Filament,infill failures
1135,Filament,taz 5 grinding filament and not extruding material.
1136,Filament,pla is too stiff to extrude at the end of finishing a role
1137,Filament,spool organization ideas
1138,Filament,layer lines visible - tips for a very large print?
1139,Filament,upgrading a lulzbot taz 5 to taz 6
1140,Filament,"is this ""normal""?"
1141,Filament,"taz 6 - whats your ""workhorse"" filament?"
1142,Filament,white village mills abs clicking sound???
1143,Filament,dual extruder with water-soluble filament
1144,Filament,constant extrusion failures
1145,Filament,taz 6 reboots manually loading filament
1146,Filament,want smoother bottom with abs
1147,Filament,taz 6 extruder mount cracked and broke
1148,Filament,taz 5 lulzbot dual extruder v2 ooze sheild
1149,Filament,prime and wipe tower always failing (ngen + pva)
1150,Filament,"got my new taz 6, have some questions."
1151,Filament,practical minimum layer height with taz-6 with ngen filament
1152,Filament,taz 5 to taz 6 v2.1 upgrade
1153,Filament,filament material used for production printed parts?
1154,Filament,failure at height issue?
1155,Filament,"brand new taz 4 won't feed filament, only strips it"
1156,Filament,taz 6 top surface pattern
1157,Filament,lulzbot taz 6 - bad phone case print
1158,Filament,failed prints
1159,Filament,use only one extruder of dual extruder v2
1160,Filament,idler tension
1161,Filament,issues printing small part
1162,Filament,idler arm finally cracked on taz5
1163,Filament,daydreaming??
1164,Filament,extrusion problems
1165,Filament,taz 6 auto-leveling ends up too close to buildplate
1166,Filament,new to the taz 6 and hairy prints?
1167,Filament,lulzbot taz 6 end
1168,Filament,taz 6 nozzle touches print when printing solid layers
1169,Filament,my printing journey.
1170,Filament,switching to .35mm hot end
1171,Filament,extruder calibration frustrations
1172,Filament,consistent jams with pla on taz6 heat creep issues
1173,Filament,taz 5 - spares to print?
1174,Filament,taz 5 fr control
1175,Filament,need to replace filament mid print with filament that arrives tomorrow
1176,Filament,taz 5 extruded filament buildup
1177,Filament,help. taz 5 head pulls up already laid filament
1178,Filament,taz 4 to e3d light
1179,Filament,"improved filament tube path parts for taz 5, 6"
1180,Filament,how long can you run the taz 5 for?
1181,Filament,spare parts filament
1182,Filament,lulzbot taz tool head v2 skips filament
1183,Filament,hot end clogged? it is slow and sporatic to extrude
1184,Filament,z layer problems every 30mm
1185,Filament,taz 5 retraction
1186,Filament,simple filament runout sensor
1187,Filament,problem with extruding filament in unsupported areas
1188,Filament,"taz 6 : better filament path, prevent filament snapping"
1189,Filament,taz6 dual extruder v2 extrudes a bunch of excess filament before starting print
1190,Filament,debris appears in extruded filament
1191,Filament,"extruder decision advice for library - flexidually, dual extruder"
1192,Filament,differing machine speeds
1193,Filament,help with elephant's foot
1194,Filament,clack clack sound on retract taz4 budaschnozzle 2
1195,Filament,taz 5 stops extruding at exactly the same point
1196,Filament,first layer issue
1197,Filament,taz 5 vs makergear m2e
1198,Filament,taz 6 first layer/z axis issues
