Replies_subject,relation,Replies_object
User294,could call,them
heat,creeps up into,end
User294,can try,cold pull
Answer294,'m,very happy
Answer294,'m very happy with,results
Answer294,use eSun cleaning filament for,this
Answer294,use,eSun cleaning filament
mosfet,is,okay
controller,supplying,voltage
Measure,voltage to,open positive connector
ground connector,is,good
multimeter,reads,10mV
Answer295,'m,perplexed
power electronics,were having,trouble
Answer296,Checked,real quick
Answer296,'m,unable
Answer296,cut off,it
Amazon,winging,stuff
Amazon,winging stuff to,me
filament,answer,your question
Answer296,was using,spool of Inland green
Answer296,kind,assumed
Microcenter,is in,Boston
green,seemed like,color
theory,be,further reinforced
zero issues,is with,entire spool
Answer296,checked diameter,recommended
Answer296,checked,diameter
my idler,is,loose
Answer296,'ll try,alignment steps
my filament,sawing through,idler arm
Answer296,did,notice
Answer296,print,clip
something,print,new parts
Answer296,'ve got,Prusa MK3
Answer296,proceed with,troubleshooting
Answer296,really appreciate so far,help
Answer297,tried out,it
build surface,was at,75 deg C
Answer297,checked,build plate temperature
supports,be,modified
Answer297,was having,same issue
Answer297,was having issue with,my TAZ5
my TAZ5,is with,heater plate sagging in middle
Answer297,support,center of heat bed
User297,print/use bed corners in,TAZ 5 modular bed instructions
User297,print/use,bed corners
link,https://www.lulzbot.com/store/parts/lul,nt-kit-5pk
fumes,can make,you ill
piece,is in,Methanol/Isopropanol
User298,can see,your face
Answer298,got,it 98 % perfect
Answer298,replaced,works fine
extruders,produce,objects
Answer299,print,ABS
Answer299,print ABS from,extruder
learning curve,is with,filament path
Answer299,find,that
extruder,do,work
filament,use,gears
first layer,is,really personal preference
layer,is,personal
Most,would consider,that
print,difficult,remove from print bed
flow rate,create,flat surface
flow rate,can,With slicers can controlled
Answer300,adjust,my Z
Answer300,use,125 %
bed,has cooled below,60C
print removal,is optimal With,TAZ
print removal,is,optimal
50C,is,ideal
User301,handle,hardware
User301,put,relay
User301,may have,go
User301,go to,NEMA 23 motor size
User301,change,motor firmware
User301,are using,auto leveling
Answer302,fixed,issue
my X axis motor cable,broken,most of motor wires
Answer303,Well found about,about month
my X axis motor cable,hitting,Z homing button body
Answer303,replace/repair,it
idler arm springs,have,about 8 mm space between washers
bearing,is in,idler spin
lace,is with,6082rs bearing
central,cooling,fan
thermistor,has,good contact
thermistor,be,replaced
new print,carefully and safely try,gear
none,be,issue
two magnetic coil driver pairs,is in,stepper
hotend,is,aligned
briefly,tightening in,place
hotend,is aligned to,cold end properly
briefly,loosening,it
User304,actually have,nozzle blockage
Answer305,had,feel
Answer305,had feel At,one point with my TAZ
wobbly feel,is in,original tool head
hot end sits.This,seemed,help
screw,sits about,3/4 up from bottom of hole
Your nozzle,is,your leveling sensor in Taz 6
non conductive olsen ruby,tipped,ones
? Thu May 10,am Thank,you
Answer307,have attached,my S3d fff used for print
Thanks,again appreciate,suggestions
Answer307,see,couple things
User307,second opinion on,these
User307,telling program to,to extrude
User307,telling,program
1.00,setting,it
1.00 should be extruding,is telling,extruder
That,could cause,gapping
Answer307,would expect,see
its,might explain,0.1 mm gap
Your first layer percentage,is set to,exactly 100 %
elephant,to,foot syndrome on parts
Your first layer height,is,set
Taz,printing,ABS
Taz,has,PEI bed surface
Answer307,Typically would have,first layer of 0.4 omm for subsequent 0.25 mm layers with my prints
Answer307,would generally run,part like that
Fan speeds,might need,playing with
PLA,can,can tricky in white PLA
User307,measure,your filament with calipers
User307,adjust,match
Answer307,'d suspect,based off 0.92 extrusion multiplier
User307,probably have filament actually in,2.93 range
User307,have actually,filament
Nothing,jumps out at,me
speeds,be,little
Your speeds,might,might little low
Answer308,'m thinking,its thermistor
User308,should call in under,warranty
User309,can use,program like Meshmixer
User309,cut mesh into,parts
User309,cut,mesh
User309,glue all together,them
normal head,is,good enough
normal head,is good enough for,my needs
your right,was,better
xyz fast print item,is with,taz6
tradeoff,is with,quality
Taz6,needs,more time
Answer311,hear,ya with 15 dollar spool of leds
its own power supply,is with,dim
CuraLE,is,open source
Answer312,taking,simple
both,will exhibit problem with,auto-leveling
both,will exhibit,same problem
differences,are,minor
Answer312,use KISSlicer depending,depending part
Answer312,use,KISSlicer
Answer312,have,original single extruder
Simplify3D,has,parameter substitution
S3D start code,use of,triple wide wiper pad supplied with Dual Extruder V3
wipe section,be,replaced
gcode,is included in,the
gcode,is,included
Answer313,so assumed,same for 6
My Taz 5 I,bought,came with one
Answer313,'ll likely buy,pei sheet to suit
Answer313,print,models
dual extruder V3,needs,two connectors
User314,Did add,cable
User314,Did add cable for,second extruder
User314,are looking at,front of TAZ
Answer314,installed,mine
instructions,seemed,pretty clear to me
your original head,update,firmware for head
replacement herringbone gears,is in,PLA
Answer316,ago printed,replacement herringbone gears
motor shaft,basically spin inside,small gear
motor shaft,rotating,it
small herringbone gear,was getting heat transfer During,print
these,were,ABS prints
Answer316,replaced,them
two nozzles,need On,dual extruder with fixed nozzles
two nozzles,be at,exactly same height above bed
two nozzles,are,close enough
Dual Extruder V3,is,when installed
My V3,has remained since,then
My V3,has remained,level through numerous tool head changes
head,raises at,end
spelling error,is in,our firmware
print,is,complete
User318,Would mind,checking
console,is in,Cura
Answer319,'ve had,my Taz 5
Answer319,'ve printed,so much with it
my latest print,was,done
Answer319,clean,bed
Answer319,clean,pre heat
filament,snapped in,tube
Answer319,cancel,print
everything,is,stuck
Answer319,'ll post,pics
Answer319,get,home tonight sudden shift
home tonight A sudden shift,is in,height
User319,manually re level,axis
User319,go from,there
fans,were,pieces
fans,were pieces of,junk
replacements,are,spendy
Answer321,using,S3D
Answer321,like,5-10mm ooze shield w/brim
shield,hitting,first few layers
project,stays,clean
shield,blocks,air
Brim,holds ooze shield to,bed
User322,will,Only will able
that,has,viable
stock fan,cool efficiently,PLA
stock fan,is,powered
What did work,was backing off,tension on screw on hobble bolt
Answer322,hit,sweet spot
your thermistor,is reading,below
Runaway,is,triggered
Thermal Runaway,is triggered by,primary hotend dropping in temperature beyond threshhold set in firmware
thermistor,coming during,printing
thermistor,coming out,toolhead
failing heater cartridge,is in,worst case scenario
Answer323,would suspect,something
User323,see,bad
User323,can check,resistance measurements
User323,have,access to multimeter
smaller wires,are for,thermistor
wires,read,100k ohms at room temperature
larger wires,read,20 ohms
larger red wires,are,connected
larger red wires,are connected to,heater cartridge
threshhold set,is in,firmware
thermistor,coming during,printing
thermistor,coming out,toolhead
failing heater cartridge,is in,worst case scenario
User324,take,resistance measurement
User324,take resistance measurement off,two sets of wires at toolhead harness
heater cartridge,is,bad
User324,have,access to multimeter
smaller wires,are for,thermistor
larger red wires,read,20 ohms
larger red wires,are,connected
larger red wires,are connected to,heater cartridge
Answer325,mounted,it
Answer325,could get,12 volts
Answer325,replace,one
Answer325,exactly looking for,lol
Mini,is,24V
Answer325,'m taking,gamble
fan,is,off/on
Answer325,'m actually trying with,buck converter
Answer325,was reading,duty cycle of about 100 %
Answer325,hooked up,my meter
User325,look at,schematic
User325,measure,voltage across fan headers
User325,will get,12v
User325,get,24v
Answer325,'ll do,same
That,has,interesting
User326,work on,spacing of motors
Answer326,'m impressed with,Lulzbot V3 setup
Answer326,'m,impressed
Answer327,damaged,my hotted to point
assistance,is with,your tool head
warping,is caused by,contraction of plastic
warping,is,caused
edges,lift from,plate
alcohol,clean of,oils from your hands
PEI,is,clean
brim,acts as,buffer to print
Something,is,easy
User329,are working at,too high of temperature
Answer329,want,mention
PLA,can carbonize at,temperatures over 230
nub,heating,extruder
extruder,removing,filament
error,could,could things
thing,is,air
print bed,cooling,nozzle
error,be,couple
User329,have,issues with error
User329,take resistance measurements on,your toolhead
User329,take,resistance measurements
your secondary fans,reducing,their power
heater,are,okay
jamming,does occur after,2 hrs of printing
One reply forum,indicate,cooling on upper part
cooling,is,problem
User330,first start,print
upper part,is,cool enough
time,goes on,heat creep
upper part,get,hot
fan,spinning like,it
User330,are having,jams with ABS
User330,are using,old filament
User331,level correctly,it
v2,is,did
User331,are setting,flexdually extruder
anything,is with,way
gear,is set to,smaller wheel
Answer331,use,my finger
my finger,see,is anything
gear,is,set
Answer332,have attached,a
code,uses,more of triple wide pad
attached files,are,usable
User332,edit,start gcode
User332,replacing,lines between comments
Answer333,swapped out,them
Answer333,ran,my Taz 3 rods
User333,are seeing,wear
uses,are,self lubricating
User333,replace,your bearings
printer,should under,should also still warranty though
Answer334,'ll pick up,SD card reader
silver dot,is in,middle of connector housing
pin,give,little metal tab
thermistors,look,hoping
Might,modifying,firmware
Might,modifying firmware for,E3D thermistor cartridge
heat block,needs,wrench
nozzle,liquefy,filament
That,makes sense to,me
heat,travels up,break
filament,soften near,hobbed bolt
User337,have,bite mark
PLA,is affected by,heat creep
PLA,is,affected
User337,set up,small desk fan blowing across hotend
Chrisbap,are,correct
Chrisbap,are correct on,pair of screws
teeth,spot,where hobbed bolt was spinning against it
Answer337,clip off,damaged part of filament
Answer337,clean out,teeth
Answer337,will pay,attention
Answer337,will pay attention,going
Answer338,apologize in,advance
much play,is in,mount
head catch,is,too small
Answer338,Should just pad,it
Answer338,go to,leveling process
Should I pad,is with,material
bigger nozzle,reduce,print time
bigger nozzle,will allow,thicker layers
Answer339,suspect/guess,that
theoretical mm nozzle,would put out,volume of .5 mm nozzle
.1.2 mm,is,just 5.76 x
speed,was for,motion system
speed,referenced by,Piercet
User339,reach print speed with,knob
User339,doing,this
User339,were,able
User339,reach,suitable print speed
method,works at,least
Answer339,switching to,OctoPrint
Answer339,do have,MOARstruder
Answer340,slicing,model
Answer340,can cause,pauses
laptop,doing,other things
problem,is in,my case
laptop,is,too busy
Mini,waiting for,instructions
User340,can print via,SD card
User340,have,Taz 6
User340,stay,tethered
User340,install,Cura 2
User340,want,stay
User340,install,Ubuntu
developers,usually work in,Linux
issue,is with,free software like Cura
Linux versions,are,typically much more stable
Answer341,experience with,TPU
https://www.thingiverse.com/thing:909901 Start printing,is with,your default settings
User341,get,stringing
User341,get,blobbing
extruder,re-pressurizes,nozzle
Answer341,have,it
problems,going,too slow
Ringing,is,caused
Ringing,is caused by,belts having
effect,is on,on print
setting,is,Outer Wall Speed
User341,can try,10 mm/s
ABS,hates,them
Aerostruder,will make for,uniform parts
Hexagon toolhead,has,one directional fan
User341,might consider,PVA support materials
results,seem,better than Limonene
watching co-workers,do,dual-prints
Simplify3D,is better than,Cura 2
general consensus,avoid,headaches of dual printing
extruder body,swap nozzle to,.6 mm
extruder body,swap,nozzle
User342,print,flexystruder body
path,getting sucked into,hobbed bolt
path,getting,sucked
hobbed bolt,preventing,softer filament
extruders,have,filament path tolerance
hobbed bolt,escaping,path
Answer343,would expect,20 mm span
printing,is in,mid-air
expectations,be,little
Your expectations,may,may little high
slight decrease,could help,just careful of poor adhesion to previous layer
slight decrease,is in,extrusion temp
filament manufacturer,within,suggested temp ranges
Slic3r,setting for,wipe
Slic3r,has,setting
User344,check,fuses on Rambo board
Answer344,have attached,photo of locations
small white fuse holders,are,Little Fuse OMNI-BLOCK fuse holders
Fast,are,recommended
MR F2,supplies,motors
MR F2,supplies,power supply
F3,supplies,fan outputs
F3,supplies,logic
F4,is,15A ATO
F4,supplies,heated bed output
Answer345,will report,back things go
Mizunoslove,Thanks,responding to post
Answer346,know,posting
Answer346,can certainly understand,frustration
Answer346,will try,check consistently
Answer346,did,modification
Answer346,modification to,actual extruder body
Answer346,came up with,heatsink shroud design
Answer346,installed,current fix
Answer346,am getting benefit from,extruder body fan
Answer346,am getting,benefit
Answer346,have done,99 % of my printing
Answer346,looked at,my head
everything,looks,fine
Answer346,post,them
User346,Maybe 'll see,issue
Answer346,'m posting,pictures of fan mod
User347,will find,documentation about problem
User347,dig through,Hexagon files on devel.lulzbot.com
aluminum heater,block,expands
expansion,puts pressure on,brass nozzle
expansion,puts,pressure
nozzle,has,has tightened
crack,grows,weak enough
failure,is,covered
Answer347,recommend,you need
User347,buy,torque wrench
User347,change,nozzles
User347,buy,7 mm crowfoot
My crowfoot,will arrive at_time,Tuesday
nozzle,be close to,too bed impacting material flow
nozzle,was,dirty
Taz,executed,wiping
leather glove,is with,non-conducive scotch britte clean
nozzie touches,is With,this
contacts,is in,corner
Answer348,using,low temp for material
heat,material on,extruder
Answer348,used for,next run
Answer348,did,following changes
first layer speed,raised,temp
first layer speed,increase,skirt lines
first layer speed,cut fan to,0 %
first layer speed,raised temp for,first 2 layers
first layer speed,cut,fan
Answer348,got priming on,nozzle
Answer348,prior start,printing
Answer348,got,good priming
Answer348,got,great print
wet bed,is with,1500-2000 grit
Sand,is with,same solution
Answer348,did at_time,yesterday
My machine,is,basically new
Console,click,that
M115,M503,connecting to your printer
Manual Control,is,button labeled
User349,can send,command
T0,are,At beginning of Start Gcode set
T1,retracted,G1 E-15 F100
T0,is,moved
Global E,moved to,E0
T1,is,selected
Marlin,be,told
Purging section,should,should Code
purge,being beginning of,brim
purge,being,beginning
your X carriage assembly,is level to,print bed
User351,make,sure
your X carriage assembly,is,level
First,please raise,your tool head
head,is,high enough
head,do,measurement
printer,manually turn,silver couplers
User351,'ll find,them
tool head,is,mounted on to assemblies
User351,will find,2 4 mm Allen head screws
User351,will need printer to,auto home
re-tighten 4 Allen head screws,connected to,Z nut
User351,Once have,X carriage in middle of printer
Z binding,is,decreased
User352,should find,directions
User352,are,focused on
Answer353,recently developed Twoolhead for,exact scenario
Answer353,recently developed,Twoolhead
duplication mode,is in,stock firmware
duplication mode,be,broken
Answer353,'ve got here,versions
User353,'re using,hardware
User353,'re using hardware for,LulzBot v1
Answer353,are,links
questions,getting,it
set T1,offset,help
Answer354,have,M218 T0 X0 Y0
dont,apply,gcode
dont,just set,them
User355,are using,that
them,gunk up,bearings
someone,did,something less than ideal like try
someone,lubricate,rods
rods,are,10 mm
Answer356,hold,heater block
nozzle,only has,2 flat sides
Answer356,heat up extruder from,200
Answer356,heat up,extruder
User356,may cause,damage
Answer356,Once put on,nozzle
right,is,tight
issue,could on,could elsewhere printer
Rambo,is,where located
User357,check,purple ones coming from connector for bed
User357,see,issues with components on Rambo board itself
Answer357,contacting,our 24/7 Support team
Answer358,remove,thermistor
Answer358,everyone,I had
Answer359,can say,same thing
Answer359,even bought,it
My serial number,fell within,affected range
several prints,is with,dual head
several prints,using,eSUN PVA material
my advice,check,service bulletin
https://www.lulzbot.com/content/service-bulletins,owned mini Before,my TAZ6
https://www.lulzbot.com/content/service-bulletins,owned,mini
Answer359,go,level
Quality,was,good
Lulzbot,also decided at,time
Lulzbot,go with,entire new software platform for their free CURA Lulzbot Edition
old software,was,much better
software developers,have,plenty
Answer359,'ve submitted,few
Answer359,'m expect,major version
Answer359,need,do
version,doing,everything
Good Luck,is with,your new TAZ 6 printer
Answer360,looked at,post
Answer360,make,adjustments
Nice bit,Thank,You
User360,Nice bit of,info
Answer360,get,work
last post,has,information on heated bed portion
user,making,large scale TAZ for electric motorcycle
user,was,also involved
adhesion,is with,print bed
BRIM function,is in,your slicer software
perimeter brim,will create,better bond
better contact,is with,object
User363,create,them
timeout,is,set
timeout,is set as long to,to hour
User363,recreated,that
top surface,looks,under-extruded
Infill,get,better adhesion between infill
User364,might try,increasing
Infill,overlap,%
Answer365,receiving unit via,rush RMA
Answer365,am,disappointed
Answer365,receiving,new unit
heaters,with brand is,retention bracket
my brand,is with,heaters of two different lengths
anything,goes,wrong
User365,do,same boilerplate nonsense
Answer365,be,beta tester for product
Answer365,would encourage,anyone considering
User365,is wasted,time
time,is with,support staff
one unit,was,faulty
User365,would,would better
User365,are,masochist
User366,moving closer together,them
User366,increasing,fan speed
User366,are in,production type environment
time,find,perfect balance
carraige,stops of,my design
Answer366,needed,two sets of two parts
two more sets,is with,spacing
Answer366,got,drooping
Answer366,see,it would help
Answer366,now have,6
Answer366,put ones on,ebay
Answer366,may keep,ones for my own use
plastic,keep up with,print
use,is with,unloaded
User367,retract,filament
User367,'re using ABS in,extruders
Answer367,can upload,my S3D profile
thermistors,are,set at different depths in hot ends
thermistors,are set at,different depths
Answer368,had,experience
E2,for,thermistor
Answer368,Check,see
painter 's tape,help,case
painter,has,tape
your first layer,is,bit
User369,may,may able
Z-offset,using,M851 command
new offset,is,saved
new offset,is saved to,memory
User369,can also resurface PEI for,better adhesion
User369,can also resurface,PEI
use,is with,few drops of water
use,is With,printer off
temp,is reading,low
User370,see,drop
may broken wire,is in,bed cable chain
bed,is,when moved to certain positions
Answer371,just finished print at,standard temps
my Mini,is with,Red Hatchbox 1.75 mm PLA
did,trick for,me
Answer371,'m also using,Hatchbox 1.75 mm
My issue,is with,algorithm
filament,binds completely in,large opening
filament,actually doubles over on,itself
filament,is,already sort
filament size parameter,slow down,print speed way
Answer371,have had,do
support material,be,dabbed
Answer371,also have turned temp down,down 180C
Answer371,also have turned,temp
1 hr print,is with,slow speed
Answer371,can successfully print,really small pieces
Answer371,did,same
Answer371,wish At,point
Answer371,have,about 8 rolls go
Answer371,'ll keep,hacking
Answer371,'ll keep hacking at,it
Answer371,'m going,try
Answer371,need,tack
Answer371,need tack for,perhaps piece
answer,is no to,above questions
Answer371,talked to,3D printing experts in industry
industry,is divided into,2 types of printers
industry,is,divided
my life,be,easier
my life,be easier,lot
Answer371,made,deal
Answer373,ran,600g print
Ive,done,PLA/PVA
Biggest issue,get even,them
issue,was adjusting,z rods
User373,fight,yourself
Answer373,can vouch for,feed
second nozzle,scraping,it
Answer373,have,ITWorks version
Answer373,right now just have ITWorks version As for,aerostruder
Answer373,needed,SS hob
Answer373,needed,Titanium heat break
alot,needed,torn down twice now
your extruded temp,pull out,filament
Extruding,is,key here
tighten,should,should tight
push,re-insert,screw
new filament,to,printing temperature
extruder 's temperature,begin,extruding
gash,can,From experience can tolerated
one,is waiting,new PEI sheet arrive
Answer376,done process at_time,few times now
replacement PEI sheet,is in,Lulzbot store
Answer376,done,process
detecting switch,make,contact
detecting switch,is in,Poor Man 's kluge
User378,see,bad
User378,have,access to digital multimeter
User378,can check,resistance measurements
larger wires,read,20 ohms
enclosure,is,awesome
Answer379,would make,sure
Enclosures,are,great
Enclosures,are great,you need
User379,fix/troubleshoot,something
issue,is with,my prints shifting
Rambo,of,driver ICs overheating
Answer379,move,substantially more air
Answer379,So am upgrading,80 mm Fan
80 mm Fan,is in,cabinet
Answer379,move air over,electronics
exhaust,get,it
company,called,Hoffman
User379,print in,ABS
fuse,was,issue
User380,can buy here,replacement
Answer380,got,confuse
Answer380,Also expect,firmware
Answer380,bought,it
firmware,be,pre-installed
User381,see,bad
User381,can check,resistance measurements
User381,have,access to multimeter
wires,are for,thermistor
wires,are,connected
larger wires,read,20 ohms
wires,are connected to,heater cartridge
User381,narrow down,issue
issue,is with,hotend itself
could break,is in,your wiring
break,is intermittent,you are doing
break,is,intermittent
Answer382,have read,entire manual
Answer382,answer on,here
someone,did,get
manual,is redundant for,certain things
manual,is,redundant
someone,did on,youtube
Answer382,refer to,guide
Answer382,had,refer
computer,is,connected
User383,open control box in,Cura
User383,open,control box
User383,make,updates
dual v3,is with,Taz 6
issues,is with,heat creep
Answer384,have,Finnally after week of testing various settings have able
Answer384,get through,filament PLA print
Answer384,turning,temp of PLA
User387,set layer height to,.5
User387,printed at,layer height
print duration,would probably same,you printed
melted filament,oozing out,nozzle
nozzle,printing,actual object
nozzle,is,primed properly
you?ll,spend,more time tweaking settings than printing
Answer389,have,V2
User390,still have,same issue
Measure filament diameter,is with,calipers
User390,reduce,extrusion multiplier
User390,see,helps
User390,reduce extrusion multiplier by,5 %
User391,power off,printer
User391,can move,it
E3D PT100,use,E3D paired sensor kit
User392,need,connect to your PT100
Hexagon,has,old sensor connector
Hexagon 's old sensor connector,reconnect to,two pins
User392,are looking at,Rambo board
Rambo analog extension pins,is,open
your pins.h,is in,Marlin
newest Marlin,set,sure
User392,use,newer tables
setup,worked for,me
Answer393,came across,one
Answer393,do,mine
your filament temperature,also need,increase
your setting,is on,on ooze shield
Answer394,avoid,Z wobble
User394,have,fitted
layer heights,divisible by,5
layer heights divisible,are,orefferable
Answer394,can print,0.01 mm layer
your theoretical minimum height,is,as small
User394,can make,it
Moons motors,are,very effective
Moons motors,used in,6
Moons motors,holding position in,even microstepping mode
Moons motors,holding,position
additional precision,is,also possible
persistent corner issues,varies with,material type
control board,is,control board
firmware,uses,leadscrew steps value
User395,should,As long should fine
User395,adjust,your print profiles
User395,sourcing,set of Taz 4-6 style leadscrews
3,is,capable of
endplates,will run,https://itworks3d.com/product/lulzbot-t
endplates,will run,you
Looks,still has,some
your time,is in,my opinion
dramatic improvement,is in,most cases
one gray area,being,flexible fillaments
User397,'re buying,new filament
User397,want at_time,time
Answer398,found out from,AlephObjects
User399,possibly sand,PEI surface
great,write up here on,maintenance
User400,could build,locking enclosure cabinet
User400,could open,case
That,would void,your warranty
User400,could install security camera like,arlo cam
User400,could install,security camera
User401,monitor,print
cheapo endstop,connect to,Octoprint
endstop,put,it
taz6,into,motherboard
thermistor,is,kind
thermistor,is same kind,hotend uses
wires,see,one is reporting correctly
User402,have,spare hotend thermistor
User402,could attach,it
thermistor readings,are,resistance based
thermristor wire,has,connection
could broken wire,is in,harness run
Answer402,'m thinking like,single copper strand of cable
Answer402,'ve seen,more of panel
connectors,fail than,boards
Answer403,'m noticed also,same temperature difference with my modular bed
PEI,produce,more accurate results
PEI,taking,temp
Answer403,used binder clips on,side
value range,is,0-256 so
Raspberry Pi 3 Model B,has,built-in Wi-Fi
Raspberry Pi 3 Model B,is,current version
Answer405,run,OctoPi
User405,can print out,case
Answer405,bought,Logitech C270 webcam online
focus,could,could manually adjusted
printer,is with,moving bed
Auto focus cameras,causes,constant
User405,can position,it
User405,blurring up,image
head,is in,Z-axis
Those,are,m5 bolts with thumbscrew caps
User406,may,may able
Answer406,make,them myself
Dec 30,upgrading,Taz 4
Answer407,can refer to,to settings
User407,modify,file Marlin/Configuration_LulzBot.h
User407,modify file Marlin/Configuration_LulzBot.h With,new Marlin devel branch
User407,want,compile
actual differences,are worked out by,Marlin/Conditionals_LulzBot.h file
User407,can modify,Configuration.h
User407,make adjustments for,your own use
User407,make,small adjustments
User407,Configuration_adv.h as,before
User408,How long have had,printer
PEI issue,might under,might warranty
PEI,relax to,flat state
User408,'re,careful
adhesive,is in,good shape
PEI sheet,can,can stuck onto existing adhesive without removal
swelling,is,called
swelling,is called,heat creep
User408,can try,things
filament,is,gripped
filament,is gripped by,hobbed bolt
idler spring,should,should compressed to about 8 mm
hotend,keeps up with,extrusion demand
User410,extrude in,mid-air
nozzle 10-100mm,try,extruding
filament,is,fed
your slicer,is,set
your slicer,is set to,right filament diameter
User410,'re printing,3 mm filament
Answer411,did contact,support
Answer411,swapped,motors
left side,start,failure of print
7 mm,is in,height
lag,began,leaning towards right side slightly
Answer411,would have,difficulty
them,move up,Z axis
X axis,be,would level
coupler,screwed,way
coupler,disconnected from,motor housing
Answer411,could slide,bar
Answer411,had,coupler disconnected
left screw,was,just as free
Answer411,could feel,resistance
Answer411,Anyways shipped back,it
Answer412,check on,those
Answer412,'ll,so 'll sure
Answer412,'m for,next week .5
4 setscrews,2 on,end
broken coupler,retract,wrong
User413,disassemble,hear break
User413,could use,blow torch
User413,hold,hot heatsink
User413,use pliers instead of,bare hands
User413,use,pliers
5 mm,is,abnormal amount
5 mm,is abnormal amount of,lift
User414,adjusting,bearing cups
parts,have on,hand
PEI,is,long
PEI,is,consumable
idler bearings,will fail after,3-4 years of heavy use
idler arm bearing,clog up with,even sealed ones
ABS,can,can glued
Answer415,keep,bottle of plastruct plastic weld
assembly guide documentation,is,here source
Itworks3d.com,is,good
micro-adjustments,can,can made
micro-adjustments,rotating,right lead screw
micro-adjustments,rotating lead screw with,motors
Answer416,nozzle to,heat block
jig,could protect,wires
jig,removing,nozzle
nozzle,has stayed at_time,past years
Answer416,cross,bridge
max X-axis end,stop in addition to,Z-axis probing wire connected to heater block
Z-axis homing wire,secure,it
end,stop to,max X-axis end
max X-axis end,stop,mounting point for usable end stop
User417,turning off feature in,firmware source files
User417,turning off,feature
easier alternative,purchase end with,0.35 mm nozzle
easier alternative,terminate,new wiring
easier alternative,cut,wires
easier alternative,cut wires to,length
User418,see,C shaped section
idler arm bearing,still moves freely with,arm unlatched
layer thickness,is with,calipers
User418,pull,it
your starting layer,is,0.35 mm
any,are,thinner
User418,run,extruder calibration
User418,are still experiancing grindout on,longer prints
User418,are still experiancing,grindout
User418,Particularily are getting grindouts on,PLA
User418,Particularily are getting,grindouts
your retraction values,is in,cura
extruder motor,is getting,hot
User418,may also want,check
User418,check for,operation of cooling fan in your control box
second connector,is fan for,control box
second connector,is,fan
Answer419,reference,actual TAZ5 designs
pins,are,where connected in stock TAZ5
Answer420,had,similar problems
Answer420,had problems with,my taz6
Answer420,found,more
cura firmware,averaging,planes
firmware,create,plane
cura firmware,was using,4 calibration points
Answer420,going back and forth with,support
Answer420,was sent,new aluminum plate
full bed calibration print,using,PLA
Answer420,could print,full bed calibration print
Answer420,applied glue stick to,bed
Answer420,was building,it
newest firmware,uses,calibration algorithm
produces,better calibration for,me
Answer420,printed bed calibration print without,glue stick
minor issues,is in,corners
Answer420,be,able
Answer420,get,3 calibration prints
them,clip corners,keep
them,clip,corners
standoffs,increase,washer height
Mine,are,brass standoffs for PCB mounting
whole mess,is held down with,couple binder clips
Answer421,ordered,one
that,is,correct
User421,bump,bed heat
User421,set,printer
surface temp,be,will little lower
Start,low up,your way
User421,can weld print to,surface
User421,can weld,print
User421,take off,it
print,is,when little stuck
Answer422,found,my left threaded rod
User422,Can turn easily,rods
User422,Can turn rods easily by,hand
User422,use,it
User422,Have found,resolution
That,looks like,insufficient cooling to me
nozzle,hits,layer
Answer423,add,just touch more cooling fan atleast
User423,are printing,overhang
User423,wiggle,Z-axis leadscrews
Answer423,had,issue
fix,edit,firmware
fix,edit firmware with,voltages
User424,take,advantage
other option,installing,them
using,those for,reason
Answer425,'ll reserve,holes
Answer425,hooking Pi at_time,weekend
Answer425,hooking,Pi
Answer425,hooking Pi up,up it
V3,is in,works
User426,can see here,it
one,is,actually extinct product
Aerostruder Tool,Heads,work
Aerostruder Tool,Heads work,we chose
Answer427,maybe could tweak,end2 gcode
y,extrude,T1 10 mm
Answer427,cut,end
Answer427,remove,filament
Answer427,reinsert,it
v3 Dual Extruder,is,capable
v3 Dual Extruder,printing,flexible materials
tuned,profiles for,optimal cosmetic results
Printing,is,recommended
Answer429,sort out,auto leveling issue
1 mm hop,is in,attempt move out way
Answer429,going back to,single extruder
Answer429,have attached,image of latest print
second nozzle,is making,contact with print volume
warping,recommended,settings
such simple print,is with,Lulzbots
considerable warping,recommended settings for,PLA
is,'m,exactly why terribly upset
time,return,30 days
Answer429,selling,my dual v2
Answer429,'m,keen
Mini,learn,little more about dual head printing
Answer431,found,problem
your other option,glue back,tube
Artic silver,makes,good one
Answer433,have,problem like this
probe,tries,rewipe
probe,going to,front two corners
bed,instead drives down,tool head
bed,instead drives tool head down on,back left corner of heat bed
User434,using,Taz 5
Moarstruder,is,compatible
Moarstruder,is compatible As,note
Moarstruder,is,As note compatible with TAZ 5
User436,can find here,source files for flexdually v2
Answer437,was,too jealous
Answer437,too was jealous of,prusa prime method
User437,doing,new print
Line,works,awesome thanks for sharing
User438,get,factory equivalent strength
User438,get factory strength in,parts
printing,is with,ABS
support,Maybe could post,one
User438,slice,it
gcode file,sliced for,Mini
gcode files,is in,text editor see for yourself Layer height
User439,Are running,stock nozzle
Answer439,checked at_time,today
Answer439,do have,gap
Answer439,removed nozzle at_time,Today
Answer439,inserted piece With,everything loose
Answer439,inserted,piece
Answer439,snugged down,mounting bolts for hot end
bolts,opened,idler clamp
hexagon end,is,sized
my issue,is,heat creep
hexagon hot end,is,how over sized to filament
itworks3d,has,https://www.thingiverse.com/thing:1878514
Answer439,printed,Taz 5 40 mm fan shroud
Answer439,can test out,changes
Answer439,will,will Monday
